"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GB","01.01.2021 00:00 - 01.01.2021 00:30 (UTC)","3116","n/e","n/e","11268","0","0","n/e","n/e","n/e","0","","385","n/e","n/e","5949","191","n/e","0","n/e","1589","3146"
"BZN|GB","01.01.2021 00:30 - 01.01.2021 01:00 (UTC)","3118","n/e","n/e","11526","0","0","n/e","n/e","n/e","0","","382","n/e","n/e","5956","187","n/e","1","n/e","1451","3073"
"BZN|GB","01.01.2021 01:00 - 01.01.2021 01:30 (UTC)","3087","n/e","n/e","11240","0","0","n/e","n/e","n/e","0","","349","n/e","n/e","5948","186","n/e","1","n/e","1403","3020"
"BZN|GB","01.01.2021 01:30 - 01.01.2021 02:00 (UTC)","3117","n/e","n/e","10365","0","0","n/e","n/e","n/e","0","","334","n/e","n/e","5950","187","n/e","0","n/e","1425","2885"
"BZN|GB","01.01.2021 02:00 - 01.01.2021 02:30 (UTC)","3113","n/e","n/e","10020","0","0","n/e","n/e","n/e","0","","330","n/e","n/e","5949","187","n/e","0","n/e","1488","2818"
"BZN|GB","01.01.2021 02:30 - 01.01.2021 03:00 (UTC)","3111","n/e","n/e","9324","0","0","n/e","n/e","n/e","0","","327","n/e","n/e","5957","192","n/e","1","n/e","1703","2745"
"BZN|GB","01.01.2021 03:00 - 01.01.2021 03:30 (UTC)","3116","n/e","n/e","9270","0","0","n/e","n/e","n/e","0","","328","n/e","n/e","5945","200","n/e","1","n/e","1846","2833"
"BZN|GB","01.01.2021 03:30 - 01.01.2021 04:00 (UTC)","3116","n/e","n/e","8891","0","0","n/e","n/e","n/e","0","","316","n/e","n/e","5951","206","n/e","1","n/e","1803","2837"
"BZN|GB","01.01.2021 04:00 - 01.01.2021 04:30 (UTC)","3115","n/e","n/e","8440","0","0","n/e","n/e","n/e","0","","315","n/e","n/e","5945","194","n/e","0","n/e","1965","2818"
"BZN|GB","01.01.2021 04:30 - 01.01.2021 05:00 (UTC)","3118","n/e","n/e","8081","0","0","n/e","n/e","n/e","0","","315","n/e","n/e","5950","186","n/e","0","n/e","1863","2857"
"BZN|GB","01.01.2021 05:00 - 01.01.2021 05:30 (UTC)","3121","n/e","n/e","7895","0","0","n/e","n/e","n/e","0","","314","n/e","n/e","5948","184","n/e","0","n/e","1974","2948"
"BZN|GB","01.01.2021 05:30 - 01.01.2021 06:00 (UTC)","3117","n/e","n/e","7601","0","0","n/e","n/e","n/e","0","","314","n/e","n/e","5943","183","n/e","0","n/e","1979","2995"
"BZN|GB","01.01.2021 06:00 - 01.01.2021 06:30 (UTC)","3119","n/e","n/e","7867","0","0","n/e","n/e","n/e","0","","316","n/e","n/e","5945","182","n/e","0","n/e","2055","2931"
"BZN|GB","01.01.2021 06:30 - 01.01.2021 07:00 (UTC)","3119","n/e","n/e","8449","0","0","n/e","n/e","n/e","0","","335","n/e","n/e","5945","191","n/e","0","n/e","1988","2996"
"BZN|GB","01.01.2021 07:00 - 01.01.2021 07:30 (UTC)","3114","n/e","n/e","8141","0","0","n/e","n/e","n/e","0","","383","n/e","n/e","5955","188","n/e","0","n/e","2029","3034"
"BZN|GB","01.01.2021 07:30 - 01.01.2021 08:00 (UTC)","3112","n/e","n/e","8267","0","0","n/e","n/e","n/e","0","","388","n/e","n/e","5951","183","n/e","0","n/e","2213","3021"
"BZN|GB","01.01.2021 08:00 - 01.01.2021 08:30 (UTC)","3113","n/e","n/e","8536","0","0","n/e","n/e","n/e","0","","401","n/e","n/e","5941","192","n/e","1","n/e","2267","3023"
"BZN|GB","01.01.2021 08:30 - 01.01.2021 09:00 (UTC)","3118","n/e","n/e","8937","228","0","n/e","n/e","n/e","0","","402","n/e","n/e","5953","197","n/e","29","n/e","2398","3099"
"BZN|GB","01.01.2021 09:00 - 01.01.2021 09:30 (UTC)","3112","n/e","n/e","9939","202","0","n/e","n/e","n/e","0","","419","n/e","n/e","5945","186","n/e","150","n/e","59","1176"
"BZN|GB","01.01.2021 09:30 - 01.01.2021 10:00 (UTC)","3118","n/e","n/e","10743","564","0","n/e","n/e","n/e","0","","419","n/e","n/e","5960","184","n/e","307","n/e","2378","3126"
"BZN|GB","01.01.2021 10:00 - 01.01.2021 10:30 (UTC)","3113","n/e","n/e","12052","644","0","n/e","n/e","n/e","0","","426","n/e","n/e","5958","185","n/e","469","n/e","2429","3001"
"BZN|GB","01.01.2021 10:30 - 01.01.2021 11:00 (UTC)","3117","n/e","n/e","13136","725","0","n/e","n/e","n/e","0","","426","n/e","n/e","5946","183","n/e","678","n/e","2404","2877"
"BZN|GB","01.01.2021 11:00 - 01.01.2021 11:30 (UTC)","3116","n/e","n/e","14431","549","0","n/e","n/e","n/e","0","","418","n/e","n/e","5933","193","n/e","830","n/e","2422","2867"
"BZN|GB","01.01.2021 11:30 - 01.01.2021 12:00 (UTC)","3112","n/e","n/e","15345","462","0","n/e","n/e","n/e","0","","413","n/e","n/e","5939","183","n/e","886","n/e","2422","2771"
"BZN|GB","01.01.2021 12:00 - 01.01.2021 12:30 (UTC)","3112","n/e","n/e","16123","466","0","n/e","n/e","n/e","0","","402","n/e","n/e","5931","183","n/e","964","n/e","2380","2678"
"BZN|GB","01.01.2021 12:30 - 01.01.2021 13:00 (UTC)","3115","n/e","n/e","16610","721","0","n/e","n/e","n/e","0","","412","n/e","n/e","5938","184","n/e","1010","n/e","2442","2676"
"BZN|GB","01.01.2021 13:00 - 01.01.2021 13:30 (UTC)","3102","n/e","n/e","16711","940","0","n/e","n/e","n/e","0","","430","n/e","n/e","5927","190","n/e","985","n/e","2380","2789"
"BZN|GB","01.01.2021 13:30 - 01.01.2021 14:00 (UTC)","3114","n/e","n/e","16477","1372","0","n/e","n/e","n/e","0","","431","n/e","n/e","5928","186","n/e","878","n/e","2369","2625"
"BZN|GB","01.01.2021 14:00 - 01.01.2021 14:30 (UTC)","3107","n/e","n/e","16643","1453","0","n/e","n/e","n/e","0","","395","n/e","n/e","5924","186","n/e","665","n/e","2426","2506"
"BZN|GB","01.01.2021 14:30 - 01.01.2021 15:00 (UTC)","3102","n/e","n/e","16943","1332","0","n/e","n/e","n/e","0","","395","n/e","n/e","5930","184","n/e","400","n/e","2426","2430"
"BZN|GB","01.01.2021 15:00 - 01.01.2021 15:30 (UTC)","3076","n/e","n/e","17381","1208","0","n/e","n/e","n/e","0","","439","n/e","n/e","5923","185","n/e","165","n/e","2181","2362"
"BZN|GB","01.01.2021 15:30 - 01.01.2021 16:00 (UTC)","3079","n/e","n/e","18061","1201","0","n/e","n/e","n/e","0","","457","n/e","n/e","5928","256","n/e","37","n/e","2204","2318"
"BZN|GB","01.01.2021 16:00 - 01.01.2021 16:30 (UTC)","3074","n/e","n/e","18581","981","0","n/e","n/e","n/e","339","","590","n/e","n/e","5933","345","n/e","3","n/e","2276","2319"
"BZN|GB","01.01.2021 16:30 - 01.01.2021 17:00 (UTC)","3077","n/e","n/e","19683","1143","0","n/e","n/e","n/e","899","","601","n/e","n/e","5922","400","n/e","2","n/e","2427","2306"
"BZN|GB","01.01.2021 17:00 - 01.01.2021 17:30 (UTC)","3076","n/e","n/e","20367","1433","0","n/e","n/e","n/e","1291","","662","n/e","n/e","5937","414","n/e","0","n/e","2412","2283"
"BZN|GB","01.01.2021 17:30 - 01.01.2021 18:00 (UTC)","3080","n/e","n/e","20537","1447","0","n/e","n/e","n/e","1075","","666","n/e","n/e","5929","503","n/e","0","n/e","2269","2339"
"BZN|GB","01.01.2021 18:00 - 01.01.2021 18:30 (UTC)","3076","n/e","n/e","20213","1455","0","n/e","n/e","n/e","899","","627","n/e","n/e","5931","466","n/e","2","n/e","2263","2272"
"BZN|GB","01.01.2021 18:30 - 01.01.2021 19:00 (UTC)","3077","n/e","n/e","19833","1131","0","n/e","n/e","n/e","900","","623","n/e","n/e","5926","340","n/e","1","n/e","2178","2139"
"BZN|GB","01.01.2021 19:00 - 01.01.2021 19:30 (UTC)","3047","n/e","n/e","19550","1170","0","n/e","n/e","n/e","334","","522","n/e","n/e","5931","325","n/e","0","n/e","2182","2087"
"BZN|GB","01.01.2021 19:30 - 01.01.2021 20:00 (UTC)","3040","n/e","n/e","18727","1162","0","n/e","n/e","n/e","0","","517","n/e","n/e","5933","296","n/e","0","n/e","2107","1987"
"BZN|GB","01.01.2021 20:00 - 01.01.2021 20:30 (UTC)","3051","n/e","n/e","18183","903","0","n/e","n/e","n/e","0","","489","n/e","n/e","5937","233","n/e","1","n/e","2046","1951"
"BZN|GB","01.01.2021 20:30 - 01.01.2021 21:00 (UTC)","3047","n/e","n/e","17340","618","0","n/e","n/e","n/e","0","","482","n/e","n/e","5932","199","n/e","1","n/e","1889","1890"
"BZN|GB","01.01.2021 21:00 - 01.01.2021 21:30 (UTC)","3074","n/e","n/e","16688","476","0","n/e","n/e","n/e","151","","482","n/e","n/e","5927","194","n/e","0","n/e","1819","1882"
"BZN|GB","01.01.2021 21:30 - 01.01.2021 22:00 (UTC)","3083","n/e","n/e","15488","483","0","n/e","n/e","n/e","89","","440","n/e","n/e","5927","189","n/e","0","n/e","40","1007"
